taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5814393	Meliniella nodula Li, Cui & Fan, 1993	1575334	Chirosia nodula (Li, Cui & Fan, 1993)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Chirosia	1555604	Chirosia nodula	1575334	
1573036	Alliopsis heterochaeta Fan & Wu, 1983	1573036	Alliopsis heterochaeta Fan & Wu, 1983	17	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis heterochaeta	1573036	
1572977	Paraprosalpia flavipes Fan & Cui, 1983	1572976	Alliopsis flavipes (Fan & Cui, 1983)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Alliopsis	1572965	Alliopsis flavipes	1572976	
1575542	Botanophila tridigitata Fan & Chen, 1984	1575542	Botanophila tridigitata Fan & Chen, 1984	16	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila tridigitata	1575542	
5077570	Delia jilinensis Chen, 1988	5077570	Delia jilinensis Chen, 1988	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia jilinensis	5077570	
11221598	Delia tenuipenis Fan & Zhong, 1982	11221598	Delia tenuipenis Fan & Zhong, 1982	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia tenuipenis	11221598	
1576441	Acklandia curvata Cui & Fan, 1983	1576441	Acklandia curvata Cui & Fan, 1983	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Acklandia	1576435	Acklandia curvata	1576441	
4793102	Pegohylemyia dolichocerca Zheng & Fan, 1990	1575493	Botanophila dolichocerca (Zheng & Fan, 1990)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila dolichocerca	1575493	
1576396	Pegomya revolutiloba Zheng & Fan, 1990	1576396	Pegomya revolutiloba Zheng & Fan, 1990	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya revolutiloba	1576396	
11334729	Nupedia henansensis Ge & Fan	11334729	Nupedia henansensis Ge & Fan	2	SPECIES	PROVISIONALLY_ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegoplata	1572854	Nupedia henansensis	11334729	
1576213	Pegomya oligochaita Deng & Li, 1988	1576213	Pegomya oligochaita Deng & Li, 1988	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya oligochaita	1576213	
4793110	Pegohylemyia trisetigonita Jin, 1983	1575381	Botanophila trisetigonita (Jin, 1983)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila trisetigonita	1575381	
1576090	Pegomya minutisetaria Zhong, 1985	1576090	Pegomya minutisetaria Zhong, 1985	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya minutisetaria	1576090	
