LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,Bird_MigrantStatus,Bird_SurveyTime,SourceID
388,Shanghai Bay Forest Park,"Tachybaptus ruficollis (Pallas, 1764)",Podicipedidae,Tachybaptus,ruficollis,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Ardea cinerea (Linnaeus, 1758)",Ardeidae,Ardea,cinerea,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Mesophoyx intermedia (Wagler, 1829)",Ardeidae,Mesophoyx,intermedia,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Egretta garzetta (Linnaeus, 1766)",Ardeidae,Egretta,garzetta,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Bubulcus ibis (Linnaeus, 1758)",Ardeidae,Bubulcus,ibis,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Ardeola bacchus (Bonaparte, 1855)",Ardeidae,Ardeola,bacchus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Ixobrychus sinensis (Gmelin, 1789)",Ardeidae,Ixobrychus,sinensis,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Falco tinnunculus (Linnaeus, 1758)",Falconidae,Falco,tinnunculus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Phasianus colchicus (Linnaeus, 1758)",Jacanidae,Phasianus,colchicus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Gallinula chloropus (Linnaeus, 1758)",Rallidae,Gallinula,chloropus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Amaurornis phoenicurus (Pennant, 1769)",Rallidae,Amaurornis,phoenicurus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Gallinago gallinago (Linnaeus, 1758)",Scolopacidae,Gallinago,gallinago,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Tringa ochropus (Linnaeus, 1758)",Scolopacidae,Tringa,ochropus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Actitis hypoleucos (Linnaeus, 1758)",Scolopacidae,Actitis,hypoleucos,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Calidris alpina (Linnaeus, 1758)",Scolopacidae,Calidris,alpina,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Tringa nebularia (Gunnerus, 1767)",Scolopacidae,Tringa,nebularia,Species,M,Whole year,240
