LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,GrowthForm,Plant_NativenessStatus,SourceID
39,"East China Normal University, Minhang Campus",Acacia dealbata Link,Leguminosae,Acacia,dealbata,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Acer buergerianum Miq.,Sapindaceae,Acer,buergerianum,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Acer palmatum Thunb.,Sapindaceae,Acer,palmatum,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Ailanthus altissima (Mill.) Swingle,Simaroubaceae,Ailanthus,altissima,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Albizia julibrissin Durazz.,Leguminosae,Albizia,julibrissin,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Alchornea davidii Franch.,Euphorbiaceae,Alchornea,davidii,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Alnus cremastogyne Burkill,Betulaceae,Alnus,cremastogyne,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Aspidistra elatior Blume,Asparagaceae,Aspidistra,elatior,Species,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Aucuba chinensis Benth.,Garryaceae,Aucuba,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Aucuba japonica Thunb.,Garryaceae,Aucuba,japonica,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Bambusa multiplex (Lour.) Raeusch. ex Schult.,Poaceae,Bambusa,multiplex,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Bambusa multiplex 'fernleaf',Poaceae,Bambusa,multiplex,Cultivar,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Berberis julianae C.K.Schneid.,Berberidaceae,Berberis,julianae,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Berberis thunbergii DC.,Berberidaceae,Berberis,thunbergii,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Bischofia polycarpa (H.Lév.) Airy Shaw,Phyllanthaceae,Bischofia,polycarpa,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Broussonetia papyrifera (L.) L'Hér. ex Vent.,Moraceae,Broussonetia,papyrifera,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Buddleja officinalis Maxim.,Scrophulariaceae,Buddleja,officinalis,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Buxus harlandii Hance,Buxaceae,Buxus,harlandii,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Buxus sinica (Rehder & E.H.Wilson) M.Cheng,Buxaceae,Buxus,sinica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Camellia japonica L.,Theaceae,Camellia,japonica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Camellia sasanqua Thunb.,Theaceae,Camellia,sasanqua,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Camptotheca acuminata Decne.,Cornaceae,Camptotheca,acuminata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Canna indica L.,Cannaceae,Canna,indica,Species,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Catalpa ovata G.Don,Bignoniaceae,Catalpa,ovata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Catalpa speciosa (Warder ex Barney) Warder ex Engelm.,Bignoniaceae,Catalpa,speciosa,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Cedrus deodara (Roxb. ex D.Don) G.Don,Pinaceae,Cedrus,deodara,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Celtis biondii Pamp.,Cannabaceae,Celtis,biondii,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Celtis sinensis Pers.,Cannabaceae,Celtis,sinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Cerasus lannesiana Carri?re,Rosaceae,Cerasus,lannesiana,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Cerasus sargentii var. sargentii,Rosaceae,Cerasus,sargentii,Varietas,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Cerasus tomentosa (Thunb.) Wall. ex T.T. Yu & C.L. Li,Rosaceae,Cerasus,tomentosa,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Cercis chinensis Bunge,Leguminosae,Cercis,chinensis,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Chaenomeles sinensis (Dum.Cours.) Koehne,Rosaceae,Chaenomeles,sinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Chaenomeles speciosa (Sweet) Nakai,Rosaceae,Chaenomeles,speciosa,Species,Shrub,Native,48
